405;app;I       L       Apma
406;apq;I       L       A-Pucikwar
407;apr;I       L       Arop-Lokep
408;aps;I       L       Arop-Sissano
409;apt;I       L       Apatani
410;apu;I       L       Apurinã
411;apv;I       E       Alapmunte
412;apw;I       L       Western Apache
413;apx;I       L       Aputai
414;apy;I       L       Apalaí
415;apz;I       L       Safeyoka
418;aqc;I       L       Archi
419;aqd;I       L       Ampari Dogon
422;aqg;I       L       Arigidi
426;aqk;I       L       Aninka
428;aqm;I       L       Atohwaim
429;aqn;I       L       Northern Alta
431;aqp;I       E       Atakapa
433;aqr;I       L       Arhâ
435;aqt;I       L       Angaité
441;aqz;I       L       Akuntsu
442;ara;ara     ara     ar      M       L       Arabic
443;arb;I       L       Standard Arabic
444;arc;arc     arc             I       A       Official Aramaic (700-300 BCE)
445;ard;I       E       Arabana
446;are;I       L       Western Arrarnta
448;arg;arg     arg     an      I       L       Aragonese
449;arh;I       L       Arhuaco
450;ari;I       L       Arikara
451;arj;I       E       Arapaso
452;ark;I       L       Arikapú
453;arl;I       L       Arabela
455;arn;arn     arn             I       L       Mapudungun
456;aro;I       L       Araona
457;arp;arp     arp             I       L       Arapaho
458;arq;I       L       Algerian Arabic
459;arr;I       L       Karo (Brazil)
460;ars;I       L       Najdi Arabic
462;aru;I       E       Aruá (Amazonas State)
463;arv;I       L       Arbore
464;arw;arw     arw             I       L       Arawak
465;arx;I       L       Aruá (Rodonia State)
466;ary;I       L       Moroccan Arabic
467;arz;I       L       Egyptian Arabic
468;asa;I       L       Asu (Tanzania)
469;asb;I       L       Assiniboine
470;asc;I       L       Casuarina Coast Asmat
472;ase;I       L       American Sign Language
473;asf;I       L       Auslan
474;asg;I       L       Cishingini
475;ash;I       E       Abishira
476;asi;I       L       Buruwai
477;asj;I       L       Sari
478;ask;I       L       Ashkun
479;asl;I       L       Asilulu
480;asm;asm     asm     as      I       L       Assamese
481;asn;I       L       Xingú Asuriní
482;aso;I       L       Dano
483;asp;I       L       Algerian Sign Language
484;asq;I       L       Austrian Sign Language
485;asr;I       L       Asuri
486;ass;I       L       Ipulo
487;ast;ast     ast             I       L       Asturian
488;asu;I       L       Tocantins Asurini
489;asv;I       L       Asoa
490;asw;I       L       Australian Aborigines Sign Language
491;asx;I       L       Muratayak
492;asy;I       L       Yaosakor Asmat
493;asz;I       L       As
494;ata;I       L       Pele-Ata
495;atb;I       L       Zaiwa
496;atc;I       E       Atsahuaca
497;atd;I       L       Ata Manobo
498;ate;I       L       Atemble
500;atg;I       L       Ivbie North-Okpela-Arhe
502;ati;I       L       Attié
503;atj;I       L       Atikamekw
504;atk;I       L       Ati
505;atl;I       L       Mt. Iraya Agta
506;atm;I       L       Ata
507;atn;I       L       Ashtiani
508;ato;I       L       Atong (Cameroon)
509;atp;I       L       Pudtol Atta
510;atq;I       L       Aralle-Tabulahan
511;atr;I       L       Waimiri-Atroari
512;ats;I       L       Gros Ventre
513;att;I       L       Pamplona Atta
514;atu;I       L       Reel
515;atv;I       L       Northern Altai
516;atw;I       L       Atsugewi
517;atx;I       L       Arutani
518;aty;I       L       Aneityum
519;atz;I       L       Arta
520;aua;I       L       Asumboa
521;aub;I       L       Alugu
522;auc;I       L       Waorani
523;aud;I       L       Anuta
526;aug;I       L       Aguna
527;auh;I       L       Aushi
528;aui;I       L       Anuki
529;auj;I       L       Awjilah
530;auk;I       L       Heyo
531;aul;I       L       Aulua
532;aum;I       L       Asu (Nigeria)
533;aun;I       L       Molmo One
534;auo;I       E       Auyokawa
535;aup;I       L       Makayam
536;auq;I       L       Anus
537;aur;I       L       Aruek
539;aut;I       L       Austral
540;auu;I       L       Auye
542;auw;I       L       Awyi
543;aux;I       E       Aurá
544;auy;I       L       Awiyaana
545;auz;I       L       Uzbeki Arabic
546;ava;ava     ava     av      I       L       Avaric
547;avb;I       L       Avau
549;avd;I       L       Alviri-Vidari
550;ave;ave     ave     ae      I       A       Avestan
554;avi;I       L       Avikam
556;avk;I       C       Kotava
557;avl;I       L       Eastern Egyptian Bedawi Arabic
558;avm;I       E       Angkamuthi
559;avn;I       L       Avatime
560;avo;I       E       Agavotaguerra
